Feature,#Markers,#Code Markers,#File Markers,#Propagations,#Deletion Propagations,#Replacement Propagations,#Resource Propagations,#Path Propagations
TypeVente,0,0,0,0,0,0,0,0
VenteEncheres,0,0,0,0,0,0,0,0
VenteDirecte,0,0,0,0,0,0,0,0
Recherche,0,0,0,0,0,0,0,0
RechercheParKeyword,0,0,0,0,0,0,0,0
RechercheParCategorie,0,0,0,0,0,0,0,0
MoyenPaiement,0,0,0,0,0,0,0,0
PaiementParCompte,0,0,0,0,0,0,0,0
PaiementParCarte,1,1,0,1,1,0,0,0
PaiementCarteEtCompte,4,4,0,5,5,0,0,0
CreationVendeur,3,3,0,3,3,0,0,0
